Model,Image size,Batch Size,N Channels,CV score,Diff CV,Diff CV %%,PrLB score,Diff Private LB,Diff Private LB %%,PubLB score,Diff Public LB,Diff Public LB %%,CV 5 channels,Private LB 5 ch,Public LB 5 ch,CV 4 channels,Private LB 4 ch,Public LB 4 ch,Remarks
EfficientNet B0 v2,128,128,3,0.8310,,,0.8111,,,0.8278,,,,,,,,,RGB
EfficientNet B0 v2,128,128,MI,0.8290,-0.0020,-0.24%,0.8115,0.0005,0.06%,0.8339,0.0061,0.73%,,,,-0.00241,0.00062,0.00732,RGB - MI
EfficientNet B0 v2,128,128,5,0.8410,0.0100,1.19%,0.8260,0.0150,1.82%,0.8398,0.0120,1.43%,0.01189,0.01816,0.01429,,,,RGB - MI - EI
EfficientNet B0 v2,128,128,3,0.8448,,,0.8209,,,0.8116,,,,,,,,,RGB
EfficientNet B0 v2,128,128,MI,0.8338,-0.0110,-1.32%,0.8161,-0.0048,-0.59%,0.8405,0.0289,3.44%,,,,-0.01319,-0.00588,0.03438,RGB - MI
EfficientNet B0 v2,128,128,5,0.8347,-0.0101,-1.21%,0.8203,-0.0006,-0.07%,0.8350,0.0234,2.80%,-0.01210,-0.00073,0.02802,,,,RGB - MI - EI
EfficientNet B0 v2,256,64,3,0.8543,,,0.8352,,,0.8538,,,,,,,,,RGB
EfficientNet B0 v2,256,64,MI,0.8544,0.0001,0.01%,0.8423,0.0071,0.84%,0.8677,0.0139,1.60%,,,,0.00012,0.00843,0.01602,RGB - MI
EfficientNet B0 v2,256,64,5,0.8613,0.0070,0.81%,0.8643,0.0291,3.37%,0.8596,0.0058,0.67%,0.00813,0.03367,0.00675,,,,RGB - MI - EI
EfficientNet B0 v2,512,64,3,0.8609,,,0.8569,,,0.8640,,,,,,,,,RGB
EfficientNet B0 v2,512,64,MI,0.8588,-0.0021,-0.24%,0.8449,-0.0120,-1.42%,0.8582,-0.0058,-0.68%,,,,-0.00245,-0.01420,-0.00676,RGB - MI
EfficientNet B0 v2,512,64,5,0.8599,-0.0010,-0.12%,0.8582,0.0013,0.15%,0.8695,0.0055,0.63%,-0.00116,0.00151,0.00633,,,,RGB - MI - EI
EfficientNet B0 v2,512,64,3,0.8792,,,0.8667,,,0.8729,,,,,,,,,RGB
EfficientNet B0 v2,512,64,MI,0.8698,-0.0094,-1.08%,0.8678,0.0011,0.13%,0.8745,0.0016,0.18%,,,,-0.01081,0.00127,0.00183,RGB - MI
EfficientNet B0 v2,512,64,5,0.8928,0.0136,1.52%,0.8699,0.0032,0.37%,0.8747,0.0018,0.21%,0.01523,0.00368,0.00206,,,,RGB - MI - EI
EfficientNet B0 v2,256,64,3,0.8725,,,0.8560,,,0.8606,,0.00%,,,,,,,RGB
EfficientNet B0 v2,256,64,EI,0.8745,0.0020,0.23%,0.8603,0.0043,0.50%,0.8752,0.0146,1.67%,,,,0.00229,0.00500,0.01668,RGB - EI
EfficientNet B0 v2,256,64,5,0.8726,0.0001,0.01%,0.8613,0.0053,0.62%,0.8652,0.0046,0.53%,0.00011,0.00615,0.00532,,,,RGB - EI - MI
EfficientNet B1 v1,256,64,3,0.8474,,,0.8378,,,0.8580,,0.00%,,,,,,,RGB
EfficientNet B1 v1,256,64,EI,0.8727,0.0253,2.90%,0.8593,0.0215,2.50%,0.8815,0.0235,2.67%,,,,0.02899,0.02502,0.02666,RGB - EI
EfficientNet B1 v1,256,64,5,0.8594,0.0120,1.40%,0.8304,-0.0074,-0.89%,0.8510,-0.0070,-0.82%,0.01396,-0.00891,-0.00823,,,,RGB - EI - MI
EfficientNet B0 v2,256,64,3,0.8722,,,0.8511,,,0.8514,,0.00%,,,,,,,HSV
EfficientNet B0 v2,256,64,EI,0.8823,0.0101,1.14%,0.8546,0.0035,0.41%,0.8589,0.0075,0.87%,,,,0.01145,0.00410,0.00873,HSV - EI
EfficientNet B0 v2,256,64,5,0.8816,0.0094,1.07%,0.8620,0.0109,1.26%,0.8697,0.0183,2.10%,0.01066,0.01265,0.02104,,,,HSV - EI - MI
EfficientNet B0 v2,256,64,3,0.8761,,,0.8496,,,0.8374,,0.00%,,,,,,,HSV
EfficientNet B0 v2,256,64,EI,0.8791,0.0030,0.34%,0.8553,0.0057,0.67%,0.8648,0.0274,3.17%,,,,0.00341,0.00666,0.03168,HSV - EI
EfficientNet B0 v2,256,64,5,0.8818,0.0057,0.65%,0.8618,0.0122,1.42%,0.8607,0.0233,2.71%,0.00646,0.01416,0.02707,,,,HSV - EI - MI
EfficientNet B0 v2,512,64,3,0.8737,,,0.8619,,,0.8498,,0.00%,,,,,,,HSV
EfficientNet B0 v2,512,64,EI,0.8700,-0.0037,-0.43%,0.8495,-0.0124,-1.46%,0.8589,0.0091,1.06%,,,,-0.00425,-0.01460,0.01059,HSV - EI
EfficientNet B0 v2,512,64,5,0.8806,0.0069,0.78%,0.8548,-0.0071,-0.83%,0.8601,0.0103,1.20%,0.00784,-0.00831,0.01198,,,,HSV - EI - MI
EfficientNet B0 v2,256,64,3,0.8712,,,0.8650,,,0.8609,,0.00%,,,,,,,HSV
EfficientNet B0 v2,256,64,EI,0.8710,-0.0002,-0.02%,0.8560,-0.0090,-1.05%,0.8736,0.0127,1.45%,,,,-0.00023,-0.01051,0.01454,HSV - EI
EfficientNet B0 v2,256,64,5,0.8671,-0.0041,-0.47%,0.8551,-0.0099,-1.16%,0.8563,-0.0046,-0.54%,-0.00473,-0.01158,-0.00537,,,,HSV - EI - MI
EfficientNet B0 v2,256,128,3,0.8713,,,0.8544,,,0.8590,,0.00%,,,,,,,HSV
EfficientNet B0 v2,256,128,EI,0.8835,0.0122,1.38%,0.8567,0.0023,0.27%,0.8570,-0.0020,-0.23%,,,,0.01381,0.00268,-0.00233,HSV - EI
EfficientNet B0 v2,256,128,5,0.8768,0.0055,0.63%,0.8594,0.0050,0.58%,0.8514,-0.0076,-0.89%,0.00627,0.00582,-0.00893,,,,HSV - EI - MI
EfficientNet B0 v2,256,64,3,0.8625,,,0.8534,,,0.8479,,0.00%,,,,,,,HSV
EfficientNet B0 v2,256,64,EI,0.8831,0.0206,2.33%,0.8621,0.0087,1.01%,0.8594,0.0115,1.34%,,,,0.02333,0.01009,0.01338,HSV - EI
EfficientNet B0 v2,256,64,5,0.8809,0.0184,2.09%,0.8611,0.0077,0.89%,0.8508,0.0029,0.34%,0.02089,0.00894,0.00341,,,,HSV - EI - MI
EfficientNet B0 v2,256,64,3,0.8791,,,0.8521,,,0.8537,,0.00%,,,,,,,HSV
EfficientNet B0 v2,256,64,EI,0.8763,-0.0028,-0.32%,0.8602,0.0081,0.94%,0.8673,0.0136,1.57%,,,,-0.00320,0.00942,0.01568,HSV - EI
EfficientNet B0 v2,256,64,5,0.8799,0.0008,0.09%,0.8643,0.0122,1.41%,0.8629,0.0092,1.07%,0.00091,0.01412,0.01066,,,,HSV - EI - MI
EfficientNet B4 v1,256,64,3,0.8662,,,0.8342,,,0.8375,,0.00%,,,,,,,HSV
EfficientNet B4 v1,256,64,EI,0.8643,-0.0019,-0.22%,0.8427,0.0085,1.01%,0.8395,0.0020,0.24%,,,,-0.00220,0.01009,0.00238,HSV - EI
EfficientNet B4 v1,256,64,5,0.8655,-0.0007,-0.08%,0.8384,0.0042,0.50%,0.8404,0.0029,0.35%,-0.00081,0.00501,0.00345,,,,HSV - EI - MI
EfficientNet B4 v1,256,64,3,0.8649,,,0.8457,,,0.8420,,0.00%,,,,,,,HSV
EfficientNet B4 v1,256,64,EI,0.8729,0.0080,0.92%,0.8564,0.0107,1.25%,0.8654,0.0234,2.70%,,,,0.00916,0.01249,0.02704,HSV - EI
EfficientNet B4 v1,256,64,5,0.8594,-0.0055,-0.64%,0.8521,0.0064,0.75%,0.8464,0.0044,0.52%,-0.00640,0.00751,0.00520,,,,HSV - EI - MI
EfficientNet B0 v1,256,64,3,0.8644,,,0.8524,,,0.8495,,0.00%,,,,,,,HSV
EfficientNet B0 v1,256,64,EI,0.8753,0.0109,1.25%,0.8451,-0.0073,-0.86%,0.8571,0.0076,0.89%,,,,0.01245,-0.00864,0.00887,HSV - EI
EfficientNet B0 v1,256,64,5,0.8686,0.0042,0.48%,0.8528,0.0004,0.05%,0.8520,0.0025,0.29%,0.00484,0.00047,0.00293,,,,HSV - EI - MI
EfficientNet B6 v1,384,16,3,0.8757,,,0.8587,,,0.8681,,0.00%,,,,,,,HSV
EfficientNet B6 v1,384,16,EI,0.8783,0.0026,0.30%,0.8466,-0.0121,-1.43%,0.8538,-0.0143,-1.67%,,,,0.00296,-0.01429,-0.01675,HSV - EI
EfficientNet B6 v1,384,16,5,0.8761,0.0004,0.05%,0.8608,0.0021,0.24%,0.8667,-0.0014,-0.16%,0.00046,0.00244,-0.00162,,,,HSV - EI - MI
EfficientNet B4 v1,256,64,3,0.8738,,,0.8582,,,0.8764,,0.00%,,,,,,,HSV
EfficientNet B4 v1,256,64,EI,0.8874,0.0136,1.53%,0.8626,0.0044,0.51%,0.8709,-0.0055,-0.63%,,,,0.01533,0.00510,-0.00632,HSV - EI
EfficientNet B4 v1,256,64,5,0.8848,0.0110,1.24%,0.8578,-0.0004,-0.05%,0.8725,-0.0039,-0.45%,0.01243,-0.00047,-0.00447,,,,HSV - EI - MI
EfficientNet B7 v1,512,8,3,0.8814,,,0.8673,,,0.8765,,0.00%,,,,,,,HSV
EfficientNet B7 v1,512,8,EI,0.8849,0.0035,0.40%,0.8767,0.0094,1.07%,0.8843,0.0078,0.88%,,,,0.00396,0.01072,0.00882,HSV - EI
EfficientNet B7 v1,512,8,5,0.8887,0.0073,0.82%,0.8667,-0.0006,-0.07%,0.8700,-0.0065,-0.75%,0.00821,-0.00069,-0.00747,,,,HSV - EI - MI
EfficientNet B7 v1,512,16,3,0.8773,,,0.8766,,,0.8908,,0.00%,,,,,,,HSV
EfficientNet B7 v1,512,16,EI,0.8865,0.0092,1.04%,0.8748,-0.0018,-0.21%,0.8809,-0.0099,-1.12%,,,,0.01038,-0.00206,-0.01124,HSV - EI
EfficientNet B7 v1,512,16,5,0.8842,0.0069,0.78%,0.8721,-0.0045,-0.52%,0.8790,-0.0118,-1.34%,0.00780,-0.00516,-0.01342,,,,HSV - EI - MI
EfficientNet B0 v2,256,64,3,0.8563,,,0.8524,,,0.8532,,0.00%,,,,,,,HSV
EfficientNet B0 v2,256,64,EI,0.8734,0.0171,1.96%,0.8593,0.0069,0.80%,0.8572,0.0040,0.47%,,,,0.01958,0.00803,0.00467,HSV - EI
EfficientNet B0 v2,256,64,5,0.8778,0.0215,2.45%,0.8542,0.0018,0.21%,0.8596,0.0064,0.74%,0.02449,0.00211,0.00745,,,,HSV - EI - MI
EfficientNet B0 v2,256,64,3,0.8602,,,0.8465,,,0.8498,,0.00%,,,,,,,15TTA HSV
EfficientNet B0 v2,256,64,EI,0.8713,0.0111,1.27%,0.8609,0.0144,1.67%,0.8587,0.0089,1.04%,,,,0.01274,0.01673,0.01036,15TTA HSV - EI
EfficientNet B0 v2,256,64,5,0.8752,0.0150,1.71%,0.8528,0.0063,0.74%,0.8605,0.0107,1.24%,0.01714,0.00739,0.01243,,,,15TTA HSV - EI - MI
EfficientNet B4 v1,256,64,3,0.8681,,,0.8344,,,0.8323,,0.00%,,,,,,,HSV
EfficientNet B4 v1,256,64,EI,0.8705,0.0024,0.28%,0.8629,0.0285,3.30%,0.8645,0.0322,3.72%,,,,0.00276,0.03303,0.03725,HSV - EI
EfficientNet B4 v1,256,64,5,0.8656,-0.0025,-0.29%,0.8442,0.0098,1.16%,0.8307,-0.0016,-0.19%,-0.00289,0.01161,-0.00193,,,,HSV - EI - MI
EfficientNet B4 v1,256,64,3,0.8617,,,0.8316,,,0.8343,,0.00%,,,,,,,20TTA HSV
EfficientNet B4 v1,256,64,EI,0.8652,0.0035,0.40%,0.8604,0.0288,3.35%,0.8637,0.0294,3.40%,,,,0.00405,0.03347,0.03404,20TTA HSV - EI
EfficientNet B4 v1,256,64,5,0.8614,-0.0003,-0.03%,0.8408,0.0092,1.09%,0.8276,-0.0067,-0.81%,-0.00035,0.01094,-0.00810,,,,20TTA HSV - EI - MI
EfficientNet B5 v1,512,16,3,0.8759,,,0.8674,,,0.8727,,0.00%,,,,,,,HSV
EfficientNet B5 v1,512,16,EI,0.8759,0.0000,0.00%,0.8665,-0.0009,-0.10%,0.8767,0.0040,0.46%,,,,0.00000,-0.00104,0.00456,HSV - EI
EfficientNet B5 v1,512,16,MI,0.8666,-0.0093,-1.07%,0.8663,-0.0011,-0.13%,0.8778,0.0051,0.58%,,,,-0.01073,-0.00127,0.00581,HSV - MI
EfficientNet B5 v1,512,16,5,0.8662,-0.0097,-1.12%,0.8723,0.0049,0.56%,0.8797,0.0070,0.80%,-0.01120,0.00562,0.00796,,,,HSV - EI - MI
EfficientNet B5 v1,512,16,3,0.8649,,,0.8596,,,0.8719,,0.00%,,,,,,,HSV
EfficientNet B5 v1,512,16,EI,0.8856,0.0207,2.34%,0.8728,0.0132,1.51%,0.8723,0.0004,0.05%,,,,0.02337,0.01512,0.00046,HSV - EI
EfficientNet B5 v1,512,16,MI,0.8674,0.0025,0.29%,0.8576,-0.0020,-0.23%,0.8653,-0.0066,-0.76%,,,,0.00288,-0.00233,-0.00763,HSV - MI
EfficientNet B5 v1,512,16,5,0.8766,0.0117,1.33%,0.8691,0.0095,1.09%,0.8753,0.0034,0.39%,0.01335,0.01093,0.00388,,,,HSV - EI - MI
ResNet50 v2,256,32,3,0.8496,,,0.8414,,,0.8257,,0.00%,,,,,,,HSV 7 epochs
ResNet50 v2,256,32,EI,0.8608,0.0112,1.30%,0.8454,0.0040,0.47%,0.8370,0.0113,1.35%,,,,0.01301,0.00473,0.01350,HSV - EI
ResNet50 v2,256,32,MI,0.8507,0.0011,0.13%,0.8416,0.0002,0.02%,0.8338,0.0081,0.97%,,,,0.00129,0.00024,0.00971,HSV - MI
ResNet50 v2,256,32,5,0.8439,-0.0057,-0.68%,0.8418,0.0004,0.05%,0.8219,-0.0038,-0.46%,-0.00675,0.00048,-0.00462,,,,HSV - EI - MI
EfficientNet B1 v2,256,32,3,0.8527,,,0.8435,,,0.8410,,0.00%,,,,,,,HSV 7 epochs
EfficientNet B1 v2,256,32,EI,0.8689,0.0162,1.86%,0.8525,0.0090,1.06%,0.8572,0.0162,1.89%,,,,0.01864,0.01056,0.01890,HSV - EI
EfficientNet B1 v2,256,32,MI,0.8558,0.0031,0.36%,0.8604,0.0169,1.96%,0.8641,0.0231,2.67%,,,,0.00362,0.01964,0.02673,HSV - MI
EfficientNet B1 v2,256,32,5,0.8646,0.0119,1.38%,0.8578,0.0143,1.67%,0.8574,0.0164,1.91%,0.01376,0.01667,0.01913,,,,HSV - EI - MI
ResNet50 v2,256,32,3,0.8682,,,0.8484,,,0.8413,,0.00%,,,,,,,HSV 
ResNet50 v2,256,32,EI,0.8652,-0.0030,-0.35%,0.8513,0.0029,0.34%,0.8360,-0.0053,-0.63%,,,,-0.00347,0.00341,-0.00634,HSV - EI
ResNet50 v2,256,32,MI,0.8592,-0.0090,-1.05%,0.8479,-0.0005,-0.06%,0.8478,0.0065,0.77%,,,,-0.01047,-0.00059,0.00767,HSV - MI
ResNet50 v2,256,32,5,0.8536,-0.0146,-1.71%,0.8555,0.0071,0.83%,0.8393,-0.0020,-0.24%,-0.01710,0.00830,-0.00238,,,,10TTA 11 epochs HSV - EI - MI
ResNet50 v2,256,32,3,0.8764,,,0.8493,,,0.8402,,0.00%,,,,,,,HSV 
ResNet50 v2,256,32,EI,0.8716,-0.0048,-0.55%,0.8557,0.0064,0.75%,0.8389,-0.0013,-0.15%,,,,-0.00551,0.00748,-0.00155,HSV - EI
ResNet50 v2,256,32,MI,0.8636,-0.0128,-1.48%,0.8500,0.0007,0.08%,0.8474,0.0072,0.85%,,,,-0.01482,0.00082,0.00850,HSV - MI
ResNet50 v2,256,32,5,0.8674,-0.0090,-1.04%,0.8602,0.0109,1.27%,0.8380,-0.0022,-0.26%,-0.01038,0.01267,-0.00263,,,,11 epochs HSV - EI - MI
ResNet101 v2 ,512,32,3,0.8590,,,0.8438,,,0.8408,,0.00%,,,,,,,HSV 
ResNet101 v2 ,512,32,EI,0.8537,-0.0053,-0.62%,0.8495,0.0057,0.67%,0.8415,0.0007,0.08%,,,,-0.00621,0.00671,0.00083,HSV - EI
ResNet101 v2 ,512,32,MI,0.8620,0.0030,0.35%,0.8493,0.0055,0.65%,0.8415,0.0007,0.08%,,,,0.00348,0.00648,0.00083,HSV - MI
ResNet101 v2 ,512,32,5,0.8523,-0.0067,-0.79%,0.8474,0.0036,0.42%,0.8485,0.0077,0.91%,-0.00786,0.00425,0.00907,,,,11 epochs HSV - EI - MI
EfficientNet B1 v2,512,64,3,0.8542,,,0.8550,,,0.8612,,0.00%,,,,,,,HSV 
EfficientNet B1 v2,512,64,EI,0.8562,0.0020,0.23%,0.8558,0.0008,0.09%,0.8549,-0.0063,-0.74%,,,,0.00234,0.00093,-0.00737,HSV - EI
EfficientNet B1 v2,512,64,MI,0.8562,0.0020,0.23%,0.8629,0.0079,0.92%,0.8553,-0.0059,-0.69%,,,,0.00234,0.00916,-0.00690,HSV - MI
EfficientNet B1 v2,512,64,5,0.8732,0.0190,2.18%,0.8556,0.0006,0.07%,0.8637,0.0025,0.29%,0.02176,0.00070,0.00289,,,,10 epochs HSV - EI - MI
ResNet101 v2 ,256,128,3,0.8514,,,0.8387,,,0.8335,,0.00%,,,,,,,HSV 
ResNet101 v2 ,256,128,EI,0.8415,-0.0099,-1.18%,0.8305,-0.0082,-0.99%,0.8211,-0.0124,-1.51%,,,,-0.01176,-0.00987,-0.01510,HSV - EI
ResNet101 v2 ,256,128,MI,0.8538,0.0024,0.28%,0.8381,-0.0006,-0.07%,0.8370,0.0035,0.42%,,,,0.00281,-0.00072,0.00418,HSV - MI
ResNet101 v2 ,256,128,5,0.8555,0.0041,0.48%,0.8334,-0.0053,-0.64%,0.8433,0.0098,1.16%,0.00479,-0.00636,0.01162,,,,11 epochs HSV - EI - MI
ResNet50 v2,256,128,3,0.8551,,,0.8361,,,0.8320,,0.00%,,,,,,,HSV 
ResNet50 v2,256,128,EI,0.8596,0.0045,0.52%,0.8392,0.0031,0.37%,0.8177,-0.0143,-1.75%,,,,0.00523,0.00367,-0.01749,HSV - EI
ResNet50 v2,256,128,MI,0.8516,-0.0035,-0.41%,0.8403,0.0042,0.50%,0.8384,0.0064,0.76%,,,,-0.00411,0.00497,0.00763,HSV - MI
ResNet50 v2,256,128,5,0.8538,-0.0013,-0.15%,0.8373,0.0012,0.14%,0.8315,-0.0005,-0.06%,-0.00152,0.00141,-0.00060,,,,11 epochs HSV - EI - MI
ResNet50 v2,256,64,3,0.8613,,,0.8475,,,0.8318,,0.00%,,,,,,,HSV 
ResNet50 v2,256,64,EI,0.8649,0.0036,0.42%,0.8493,0.0018,0.21%,0.8396,0.0078,0.93%,,,,0.00416,0.00212,0.00929,HSV - EI
ResNet50 v2,256,64,MI,0.8613,0.0000,0.00%,0.8547,0.0072,0.84%,0.8443,0.0125,1.48%,,,,0.00000,0.00842,0.01481,HSV - MI
ResNet50 v2,256,64,5,0.8605,-0.0008,-0.09%,0.8467,-0.0008,-0.09%,0.8445,0.0127,1.50%,-0.00093,-0.00094,0.01504,,,,11 epochs HSV - EI - MI shuffled 2019
ResNet50 v2,256,64,3,0.8584,,,0.8497,,,0.8419,,0.00%,,,,,,,HSV 
ResNet50 v2,256,64,EI,0.8594,0.0010,0.12%,0.8476,-0.0021,-0.25%,0.8302,-0.0117,-1.41%,,,,0.00116,-0.00248,-0.01409,HSV - EI
ResNet50 v2,256,64,MI,0.8666,0.0082,0.95%,0.8425,-0.0072,-0.85%,0.8328,-0.0091,-1.09%,,,,0.00946,-0.00855,-0.01093,HSV - MI
ResNet50 v2,256,64,5,0.8602,0.0018,0.21%,0.8431,-0.0066,-0.78%,0.8291,-0.0128,-1.54%,0.00209,-0.00783,-0.01544,,,,11 epochs HSV - EI - MI
ResNet101 v2 ,512,64,3,0.8511,,,0.8466,,,0.8416,,0.00%,,,,,,,HSV 
ResNet101 v2 ,512,64,EI,0.8550,0.0039,0.46%,0.8407,-0.0059,-0.70%,0.8390,-0.0026,-0.31%,,,,0.00456,-0.00702,-0.00310,HSV - EI
ResNet101 v2 ,512,64,MI,0.8490,-0.0021,-0.25%,0.8433,-0.0033,-0.39%,0.8367,-0.0049,-0.59%,,,,-0.00247,-0.00391,-0.00586,HSV - MI
ResNet101 v2 ,512,64,5,0.8550,0.0039,0.46%,0.8491,0.0025,0.29%,0.8531,0.0115,1.35%,0.00456,0.00294,0.01348,,,,11 epochs HSV - EI - MI
Ensemble 19 models,,,3,0.8779,,,0.8695,,,0.8752,,0.00%,,,,,,,HSV 
Ensemble 19 models,,,EI,0.8820,0.0041,0.46%,0.8689,-0.0006,-0.07%,0.8771,0.0019,0.22%,,,,0.00465,-0.00069,0.00217,HSV - EI
Ensemble 19 models,,,5,0.8786,0.0007,0.08%,0.8720,0.0025,0.29%,0.8756,0.0004,0.05%,0.00080,0.00287,0.00046,,,,HSV - EI - MI
Ensemble 9 models,,,3,0.8848,,,0.8665,,,0.8757,,0.00%,,,,,,,HSV 
Ensemble 9 models,,,EI,0.8882,0.0034,0.38%,0.8677,0.0012,0.14%,0.8739,-0.0018,-0.21%,,,,0.00383,0.00138,-0.00206,HSV - EI
Ensemble 9 models,,,5,0.8892,0.0044,0.49%,0.8677,0.0012,0.14%,0.8720,-0.0037,-0.42%,0.00495,0.00138,-0.00424,,,,HSV - EI - MI - 9 best models selected by local CV
